영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,배우
키리시마가 동아리활동 그만둔대,2014-06-26,160000,8881200,23,1185,1,1,일본,주식회사 마운틴픽쳐스,15세이상관람가,드라마,요시다 다이하치,"카미키 류노스케,하시모토 아이,히가시데 마사히로,오고 스즈카"
퍼머넌트 노바라,2010-11-04,56000,8175800,8,1202,1,2,일본,주식회사 마운틴픽쳐스,15세이상관람가,드라마,요시다 다이하치,"칸노 미호,에구치 요스케,칸노 미호"
아름다운 별,2018-01-18,27268500,27268500,3231,3231,29,337,일본,"(주)싸이더스,아이 엠",청소년관람불가,SF,요시다 다이하치,"릴리 프랭키,카메나시 카즈야,하시모토 아이,나카지마 토모코"
양의 나무,2018-10-18,35234900,35234900,3989,3989,24,323,일본,(주)영화사오원,15세이상관람가,스릴러,요시다 다이하치,"니시키도 료,마츠다 류헤이"
종이 달,2015-07-23,260000,197705216,26,24444,1,1,일본,"(주)영화사오원,(주)퍼스트런",청소년관람불가,드라마,요시다 다이하치,"미야자와 리에,이케마츠 소스케,코바야시 사토미,오오시마 유코"
세컨드라도 좋아,2012-10-11,30000,30000,10,10,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),요시다 료코,야나기 에리사
채용 랩소디,,20566,20566,46,46,1,2,일본,,,애니메이션,요시다 마호,
바람난 유부녀,2019-06-04,6000,6000,1,1,1,1,일본,(주)플라이어,청소년관람불가,드라마,요시다 쇼,하시모토 레이카
아저씨 안마만 하세요,2019-07-02,6000,6000,1,1,1,1,일본,(주)플라이어,청소년관람불가,드라마,요시다 쇼,오토와 아야코
해피 버스데이,2017-09-28,84559800,85700800,10634,10765,81,1017,일본,(주)티캐스트,전체관람가,드라마,요시다 야스히로,"미야자키 아오이,하시모토 아이,유스케 산타마리아"
안녕 여름빛,,648000,648000,131,131,1,3,일본,,,드라마,요시다 요시시게,
다부진 연하남의 근육,2019-08-02,6000,6000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),요시다 카미유,
조루란 시시하다,2012-09-26,600000,600000,120,120,1,1,일본,(주)나우콘텐츠,청소년관람불가,성인물(에로),요시다 코우다,세리자와 타테토
좋아하지도 않으면서,2018-07-12,49000,49000,27,27,5,27,일본,주식회사 풍경소리,청소년관람불가,멜로/로맨스,요시다 코타,
유리코의 아로마,2016-07-11,1262000,1262000,242,242,20,20,일본,(주)제이에이와이이엔터테인먼트,청소년관람불가,멜로/로맨스,요시다 코타,"에구치 노리코,마츠노이 미야비"
츠야코와 료칸의 정사,2010-08-12,30000,30000,10,10,1,1,일본,(주)케이알씨지,청소년관람불가,멜로/로맨스,요시다 타케나리,Honoka
기억하고 있다,2013-07-05,50000,50000,5,5,1,1,일본,(주)영진크리에이티브,15세이상관람가,공포(호러),"요시다 히데아키,아카이시 토모유키,쿠보 토모히로","아소 유미,카가와 테루유키,카츠라야마 신고,에모토 토키오,무라카미 준"
여자의 고갯길,,170000,170000,34,34,1,2,일본,,,드라마,요시무라 고자부로,"오카다 마리코,오토와 노부코"
청순한 그녀: 육체관계,2015-12-16,10000,10000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로/로맨스,요시오,"미모토 마사노리,유키 아야카"
거꾸로 된 파테마,2014-04-17,15357000,15357000,1957,1957,35,259,일본,에이원엔터테인먼트,12세이상관람가,애니메이션,요시우라 야스히로,우치다 마아야
마이 섹시 펫: 밤이면 밤마다,2017-06-06,5000,5000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로/로맨스,요시유키 유미,아스카 키라라
미니스커트의 영어선생님,2018-10-19,6000,6000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),요시유키 유미,
실화 불륜의 이유,2017-05-25,6000,6000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),요시유키 유미,하즈키 노조미
오렌지 소파의 스와핑,2018-02-08,6000,6000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),요시유키 유미,
