,영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,배우
3047,실연난교 세자매-내남자가 좋아,2019-03-08,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,에로,타케호라 테츠야,
3048,색정광-발정커플,2016-10-13,8000,8000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),타케호라 테츠야,유키 미사
3049,야외노출정사,2016-10-13,8000,8000,1,1,1,1,일본,,[국내] 청소년 관람불가,에로,타케호라 테츠야,"키치세 리나,코다 리리"
3050,젊은 아줌마 맛보기,2016-09-13,8000,8000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),타케호라 테츠야,"유키 미사,미야무라 렌"
3051,형수의 젖은 오후,2016-07-01,8000,8000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,멜로/로맨스,타케호라 테츠야,"미야무라 렌,코다 리리"
3052,알바녀 가슴 조이기,2017-02-02,8000,8000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),타케호라 테츠야,타츠미 유이
3053,야외란교-명장면,2017-05-04,8000,8000,1,1,1,1,일본,,[국내] 청소년 관람불가,멜로/로맨스,타케호라 테츠야,토모다 아야카
3054,젖은 속옷에 비친 가슴,2017-03-16,8000,8000,1,1,1,1,일본,(주)도키엔터테인먼트,청소년관람불가,성인물(에로),타케호라 테츠야,토모다 아야카
3055,치한낭만 무삭제판,2016-01-28,4000,4000,1,1,1,1,일본,(주)케이알씨지,청소년관람불가,멜로/로맨스,타쿠마 쇼이치 키타자와,"오카다 토모히로,아이카 슌"
3056,치한낭만2 무삭제판,2016-04-28,5000,5000,1,1,1,1,일본,(주) 케이알씨지,[국내] 청소년 관람불가,멜로/로맨스,타쿠마 쇼이치 키타자와,"아이바 루비,사사키 마유코,타니하타 사토시"
3057,꽃꽂이 여선생:농익은 꽃잎,2019-06-12,6000,6000,1,1,1,1,일본,,[국내] 청소년 관람불가,멜로/로맨스,타쿠마 진,
3058,꽃꽂이 수업,2018-05-30,6000,6000,1,1,1,1,일본,(주)플라이어,청소년관람불가,드라마,타쿠마 친,마츠시마 카오리
3059,굶주린 유부녀:너무 하고 싶어,2019-06-28,6000,6000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로/로맨스,타쿠마 친,호리구치 나츠미
3060,음란한 아내-야릇한 오후,2019-07-18,6000,6000,1,1,1,1,일본,(주)영진크리에이티브,청소년관람불가,멜로/로맨스,타쿠마 친,키타가와 에리카
3061,아이아이 가사: 다시 만난 그날,2019-05-30,1501000,1501000,217,217,6,50,일본,(주)드림팩트엔터테인먼트,12세이상관람가,가족,타쿠마 타카유키,"쿠라시나 카나,이치하라 하야토"
3062,"작년 겨울, 너와 이별",2018-10-18,16000,16000,16,16,5,16,일본,(주)아이엠비씨,15세이상관람가,스릴러,타키모토 토모유키,"이와타 타카노리,야마모토 미즈키,사이토 타쿠미"
3063,뇌남,2014-02-27,1040000,1040000,130,130,1,1,일본,더컨텐츠콤(주),청소년관람불가,범죄,타키모토 토모유키,"이쿠타 토마,마츠유키 야스코,에구치 요스케"
3064,미키의 동영상,,30000,30000,10,10,1,1,일본,,[국내] 청소년 관람불가,멜로/로맨스,타키시마 히로요시,"미우 모리모토,시마다 이치코"
3065,여은행원의 불륜 밀회,2011-03-10,30000,30000,10,10,1,1,일본,,[국내] 청소년 관람불가,에로,타키시마 히로요시,"이노우에 토모코,키시 카나코"
3066,음란한 스튜어디스,2010-11-18,30000,30000,10,10,1,1,일본,,[국내] 청소년 관람불가,에로,타키시마 히로요시,"카와무라 치사토,요시유키 유미"
3067,배터리,,0,1268000,0,177,1,2,일본,,[국내] 전체 관람가,드라마,타키타 요지로,"하야시 켄토,야마다 켄타,아마미 유키"
3068,비밀,2002-10-11,228000,4578000,95,799,1,8,일본,이십세기폭스코리아(주),15세관람가,드라마,타키타 요지로,"코바야시 카오루,히로스에 료코"
3069,굿바이,2008-10-30,11458280,902314280,1393,144228,139,160,일본,"(주)드림팩트엔터테인먼트,㈜케이디미디어",12세이상관람가,드라마,타키타 요지로,"모토키 마사히로,히로스에 료코,야마자키 츠토무,요 키미코"
3070,시네마: 퍼블릭 어페어,,94500,94500,21,21,1,2,독일,,,다큐멘터리,타티아나 브랜드룹,나움 클레이만
3071,깊은 산 작은 마을,,617000,617000,102,102,1,6,멕시코,,,다큐멘터리,타티아나 우에조,
3072,정글북,2017-05-18,74842400,74842400,9891,9891,120,662,인도,(주)팝엔터테인먼트,[국내] 전체 관람가,애니메이션,타파스 차크라바르티,
