,영화명,개봉일,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,배급사,등급,장르,감독,배우
22795,서부 전선 이상 없다,,100000,2462000,50,1231,1,1,미국,,,드라마,루이스 마일스톤,
29412,오션스 일레븐,,348000,4663000,174,2056,1,19,미국,,,범죄,루이스 마일스톤,"프랭크 시내트라,딘 마틴,새미 데이비스 주니어,피터 로포드,앤지 디킨슨"
28848,개선문,,590000,5485000,324,2894,1,15,미국,,,드라마,루이스 마일스톤,"잉그리드 버그만,찰스 보이어"
28148,포크 촙 힐,,1894000,8239000,1033,4221,1,20,미국,,,전쟁,루이스 마일스톤,"그레고리 펙,해리 구아르디노,립 톤"
23714,하얀궁전,1991-05-04,69000,69000,23,23,1,1,미국,,연소자관람불가,드라마,루이스 만도키,"제임스 스페이더,제이슨 알렉산더"
20876,병속에 담긴 편지,1999-04-24,438000,438000,182,182,1,4,미국,,15세 미만인 자는 관람할 수 없는 등급,드라마,루이스 만도키,"케빈 코스트너,로빈 라이트,폴 뉴먼"
8583,정어리 통조림,,28056,28056,55,55,2,3,벨기에,,,애니메이션,루이스 메리 콜론,
23340,초능력자 2018 : 염력,2018-06-14,33000,33000,33,33,5,33,미국,(주)케이알씨지,15세이상관람가,코미디,루이스 바론,
26663,욕망의 모호한 대상,1999-03-27,0,55000,0,6,1,2,프랑스,,18세 미만인 자는 관람할 수 없는 등급,드라마,루이스 브뉘엘,"페르난도 레이,캐롤 부케"
31238,나자린,,156000,156000,35,35,1,3,멕시코,,,드라마,루이스 브뉘엘,
31263,젊은이,,204000,204000,35,35,1,3,멕시코,,,드라마,루이스 브뉘엘,
9092,자유의 환영/자유의 환상,,206000,395000,40,64,1,3,프랑스,,청소년관람불가,코미디,루이스 브뉘엘,
21926,어느 하녀의 일기,,442000,442000,91,91,1,3,프랑스,,,범죄,루이스 브뉘엘,"잔느 모로,그레제스 제레트"
29799,폭풍의 언덕,,572000,572000,122,122,1,3,멕시코,,,드라마,루이스 브뉘엘,
20840,절멸의 천사,,1301000,1301000,188,188,1,3,멕시코,,,드라마,루이스 브뉘엘,"실비아 피날,재클린 안데어,호세 바비에라,오귀스토 베네디코,안토니오 브라보,클라오디오 브룩"
30808,세브린느,1971-05-08,238000,2328000,52,454,1,2,프랑스,,12세관람가,드라마,루이스 브뉘엘,"장 소렐,까뜨린느 드뇌브"
20216,부르주아의 은밀한 매력,,3575000,6169000,404,853,1,4,프랑스,,,코미디,루이스 브뉘엘,"페르난도 레이,폴 프랭코,델핀 세이릭,뷜 오지에,스테판 오드랑,장 피에르 카셀"
